ID,恐怖度１(random3),恐怖度２(random3),恐怖度３(random3)
イベントID,0,0,0
event_恐怖度_イベント番号,0,0,0
event_1,wide/13/event_13_1,0,0
event_2,wide/13/event_13_2,0,0
event_3,wide/13/event_13_3,0,0
event_4,wide/13/event_13_4,0,0
event_5,wide/13/event_13_5,0,0
event_6,wide/13/event_13_6,0,0
event_7,wide/13/event_13_7,0,0
event_8,wide/13/event_13_8,0,0
event_9,wide/13/event_13_9,0,0
ファミリー,0,0,0
family_ファミリー番号(1～5),0,0,0
family,wide/13/Family_13,0,0
フレンド,0,0,0
friend_フレンド番号(1～5),0,0,0
friend,wide/13/Friend_13,0,0
不審度汎用,0,0,0
JumpIDはなし,0,0,0
dout,wide/13/dout_13,0,0
恐怖度汎用,0,0,0
fear_恐怖度_ランダム番号(1～3),0,0,0
fear_1,wide/13/fear_13_1_1,wide/13/fear_13_1_2,wide/13/fear_13_1_3
fear_2,wide/13/fear_13_2_1,wide/13/fear_13_2_2,wide/13/fear_13_2_3
fear_3,wide/13/fear_13_3_1,wide/13/fear_13_3_2,wide/13/fear_13_3_3
夜外で見かけた場合,0,0,0
night_out,wide/13/night_out_13,0,0
夜家の中で見かけた場合,0,0,0
night_in,wide/13/night_in_13,0,0
